day,week,session,focus,intensity,minutes,phase,exercise,sets,reps,seconds,rest,load,cue
Mon,,,,,,Warm-up,Neck and shoulder rolls,1,,30,0,,"Chin tucked back, not poked forward. Roll backwards only."
Mon,,,,,,Warm-up,Cat-cow,1,8 reps,,0,,On all fours. Arch and round the whole spine slowly.
Mon,,,,,,Warm-up,Wall slides,1,10 reps,,0,,Back to the wall. Arms up and down keeping the wrists on the wall.
Mon,,,,,,Warm-up,Hip hinge without weight,1,10 reps,,0,,"Hands on hips. Push the hips back, feel the hamstrings."
Mon,,,,,,Warm-up,Bodyweight squat,1,10 reps,,0,,"All the way down, slow, chest up."
Mon,,,,,,Warm-up,Reverse lunge without weight,1,5 each leg,,30,,Wakes up the hips and knees before you load them.
Mon,1,Session A,"Legs, back and core",moderate,40,Main,Front-rack squat,3,15,,75,Barbell,"Bar across the front of the shoulders, elbows high. Sit back and down. Push the knees out as you stand."
Mon,1,,,,,Main,Bent-over row,4,15,,75,Barbell,"Hinge to 45 degrees, back flat. Pull to the belly button, squeeze for one second, lower for two."
Mon,1,,,,,Main,Romanian deadlift,3,15,,75,Barbell,"A hinge, not a squat. Knees almost straight, hips push back, bar slides down the thighs."
Mon,1,,,,,Main,Overhead press,3,12,,70,Barbell,Squeeze the glutes and brace before you press. If you feel it in the lower back the weight is going up through your spine.
Mon,1,,,,,Core,Plank,2,,45,45,,45 good seconds beats 90 sagging ones. Stop the set when the hips drop.
Mon,2,Session B,"Legs, push, arms and core",moderate,40,Main,Reverse lunge,3,12 each leg,,60,Dumbbells,"Step backwards, not forwards. Back knee nearly touches the floor, front shin vertical."
Mon,2,,,,,Main,Push-up,3,12,,60,Bodyweight,"Elbows at 45 degrees. Drop to the knees rather than stopping short."
Mon,2,,,,,Main,EZ bar curl,3,12,,60,EZ bar,Elbows pinned to the sides. No swinging — if the hips move the weight is too heavy.
Mon,2,,,,,Main,Skull crusher,3,12,,60,EZ bar,Elbows stay pointed at the ceiling. Only the forearms move.
Mon,2,,,,,Main,Bent-over reverse fly,3,15,,45,Light dumbbells,"Stay light. This is the posture fixer, not a strength lift."
Mon,2,,,,,Core,Dead bug,2,15,,45,,Lower back pressed into the floor. That is the whole exercise.
Mon,,,,,,Cool-down,Doorway chest stretch,1,,60,0,,"30 seconds each side. Forearm on the frame, step through."
Mon,,,,,,Cool-down,Hamstring stretch,1,,60,0,,30 seconds each side. Heel on a low step and hinge at the hip.
Mon,,,,,,Cool-down,Quad stretch,1,,60,0,,30 seconds each side. Hold a wall and pull the heel to your backside.
Mon,,,,,,Cool-down,Hip flexor lunge,1,,60,0,,30 seconds each side. Back knee down and push the hips forward.
Mon,,,,,,Cool-down,Child's pose,1,,45,0,,For the lower back after squats and deadlifts.
Tue,,Walk and posture,Easy movement and the daily undo,light,35,Cardio,Walk,1,,1800,0,,Talk-and-walk pace. You should be able to hold a conversation.
Tue,,,,,,Mobility,Cat-cow,1,8 reps,,0,,Slow and full range.
Tue,,,,,,Mobility,Wall slides,1,10 reps,,0,,Wrists stay on the wall the whole way up.
Tue,,,,,,Mobility,Chin tucks,1,10 reps,,0,,For the forward head that comes from desk work.
Wed,,,,,,Warm-up,Neck and shoulder rolls,1,,30,0,,"Chin tucked back, not poked forward. Roll backwards only."
Wed,,,,,,Warm-up,Cat-cow,1,8 reps,,0,,On all fours. Arch and round the whole spine slowly.
Wed,,,,,,Warm-up,Wall slides,1,10 reps,,0,,Back to the wall. Arms up and down keeping the wrists on the wall.
Wed,,,,,,Warm-up,Hip hinge without weight,1,10 reps,,0,,"Hands on hips. Push the hips back, feel the hamstrings."
Wed,,,,,,Warm-up,Bodyweight squat,1,10 reps,,0,,"All the way down, slow, chest up."
Wed,,,,,,Warm-up,Reverse lunge without weight,1,5 each leg,,30,,Wakes up the hips and knees before you load them.
Wed,1,Session B,"Legs, push, arms and core",moderate,40,Main,Reverse lunge,3,12 each leg,,60,Dumbbells,"Step backwards, not forwards. Back knee nearly touches the floor, front shin vertical."
Wed,1,,,,,Main,Push-up,3,12,,60,Bodyweight,"Elbows at 45 degrees. Drop to the knees rather than stopping short."
Wed,1,,,,,Main,EZ bar curl,3,12,,60,EZ bar,Elbows pinned to the sides. No swinging — if the hips move the weight is too heavy.
Wed,1,,,,,Main,Skull crusher,3,12,,60,EZ bar,Elbows stay pointed at the ceiling. Only the forearms move.
Wed,1,,,,,Main,Bent-over reverse fly,3,15,,45,Light dumbbells,"Stay light. This is the posture fixer, not a strength lift."
Wed,1,,,,,Core,Dead bug,2,15,,45,,Lower back pressed into the floor. That is the whole exercise.
Wed,2,Session A,"Legs, back and core",moderate,40,Main,Front-rack squat,3,15,,75,Barbell,"Bar across the front of the shoulders, elbows high. Sit back and down. Push the knees out as you stand."
Wed,2,,,,,Main,Bent-over row,4,15,,75,Barbell,"Hinge to 45 degrees, back flat. Pull to the belly button, squeeze for one second, lower for two."
Wed,2,,,,,Main,Romanian deadlift,3,15,,75,Barbell,"A hinge, not a squat. Knees almost straight, hips push back, bar slides down the thighs."
Wed,2,,,,,Main,Overhead press,3,12,,70,Barbell,Squeeze the glutes and brace before you press. If you feel it in the lower back the weight is going up through your spine.
Wed,2,,,,,Core,Plank,2,,45,45,,45 good seconds beats 90 sagging ones. Stop the set when the hips drop.
Wed,,,,,,Cool-down,Doorway chest stretch,1,,60,0,,30 seconds each side. Forearm on the frame and step through.
Wed,,,,,,Cool-down,Hamstring stretch,1,,60,0,,30 seconds each side. Heel on a low step and hinge at the hip.
Wed,,,,,,Cool-down,Quad stretch,1,,60,0,,30 seconds each side. Hold a wall and pull the heel to your backside.
Wed,,,,,,Cool-down,Hip flexor lunge,1,,60,0,,30 seconds each side. Back knee down and push the hips forward.
Wed,,,,,,Cool-down,Child's pose,1,,45,0,,For the lower back after squats and deadlifts.
Thu,,Walk and posture,Easy movement and the daily undo,light,35,Cardio,Walk,1,,1800,0,,Talk-and-walk pace. You should be able to hold a conversation.
Thu,,,,,,Mobility,Cat-cow,1,8 reps,,0,,Slow and full range.
Thu,,,,,,Mobility,Wall slides,1,10 reps,,0,,Wrists stay on the wall the whole way up.
Thu,,,,,,Mobility,Chin tucks,1,10 reps,,0,,For the forward head that comes from desk work.
Fri,,,,,,Warm-up,Neck and shoulder rolls,1,,30,0,,"Chin tucked back, not poked forward. Roll backwards only."
Fri,,,,,,Warm-up,Cat-cow,1,8 reps,,0,,On all fours. Arch and round the whole spine slowly.
Fri,,,,,,Warm-up,Wall slides,1,10 reps,,0,,Back to the wall. Arms up and down keeping the wrists on the wall.
Fri,,,,,,Warm-up,Hip hinge without weight,1,10 reps,,0,,"Hands on hips. Push the hips back, feel the hamstrings."
Fri,,,,,,Warm-up,Bodyweight squat,1,10 reps,,0,,"All the way down, slow, chest up."
Fri,,,,,,Warm-up,Reverse lunge without weight,1,5 each leg,,30,,Wakes up the hips and knees before you load them.
Fri,1,Session A,"Legs, back and core",moderate,40,Main,Front-rack squat,3,15,,75,Barbell,Beat Monday's reps or weight. Everything else identical.
Fri,1,,,,,Main,Bent-over row,4,15,,75,Barbell,"Hinge to 45 degrees, back flat. Pull to the belly button, squeeze for one second, lower for two."
Fri,1,,,,,Main,Romanian deadlift,3,15,,75,Barbell,"A hinge, not a squat. Knees almost straight, hips push back, bar slides down the thighs."
Fri,1,,,,,Main,Overhead press,3,12,,70,Barbell,Squeeze the glutes and brace before you press.
Fri,1,,,,,Core,Plank,2,,45,45,,Stop the set when the hips drop.
Fri,2,Session B,"Legs, push, arms and core",moderate,40,Main,Reverse lunge,3,12 each leg,,60,Dumbbells,"Step backwards, not forwards. Back knee nearly touches the floor."
Fri,2,,,,,Main,Push-up,3,12,,60,Bodyweight,Elbows at 45 degrees. Beat Monday's total.
Fri,2,,,,,Main,EZ bar curl,3,12,,60,EZ bar,Elbows pinned to the sides. No swinging.
Fri,2,,,,,Main,Skull crusher,3,12,,60,EZ bar,Elbows stay pointed at the ceiling.
Fri,2,,,,,Main,Bent-over reverse fly,3,15,,45,Light dumbbells,Stay light. This is the posture fixer.
Fri,2,,,,,Core,Dead bug,2,15,,45,,Lower back pressed into the floor.
Fri,,,,,,Cool-down,Doorway chest stretch,1,,60,0,,30 seconds each side. Forearm on the frame and step through.
Fri,,,,,,Cool-down,Hamstring stretch,1,,60,0,,30 seconds each side. Heel on a low step and hinge at the hip.
Fri,,,,,,Cool-down,Quad stretch,1,,60,0,,30 seconds each side.
Fri,,,,,,Cool-down,Hip flexor lunge,1,,60,0,,30 seconds each side. Back knee down and push the hips forward.
Fri,,,,,,Cool-down,Child's pose,1,,45,0,,For the lower back after squats and deadlifts.
Sat,,Easy day,Move because you want to,light,30,Cardio,Walk or a sport you enjoy,1,,1800,0,,"Cricket counts here. It burns very little, so treat it as enjoyment rather than training."
